,,,Score 2,,,,,,,,,,
Score1,Score2,Decision,Decision = 0,Decision = 1,oods,prob,likelihood,,,,,,
34.62365962,78.02469282,0,78.02469282,#N/A,0.405465099,0.599999998,0.400000002,,,,alpha,b1,b2
30.28671077,43.89499752,0,43.89499752,#N/A,0.405465099,0.599999998,0.400000002,,,,0.405465099,0,0
35.84740877,72.90219803,0,72.90219803,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
60.18259939,86.3085521,1,#N/A,86.3085521,0.405465099,0.599999998,0.599999998,,,,,,
79.03273605,75.34437644,1,#N/A,75.34437644,0.405465099,0.599999998,0.599999998,,,,,,
45.08327748,56.31637178,0,56.31637178,#N/A,0.405465099,0.599999998,0.400000002,,,,,max like,5.90847E-30
61.10666454,96.51142588,1,#N/A,96.51142588,0.405465099,0.599999998,0.599999998,,,,,log like,-29.22852532
75.02474557,46.55401354,1,#N/A,46.55401354,0.405465099,0.599999998,0.599999998,,,,,,
76.0987867,87.42056972,1,#N/A,87.42056972,0.405465099,0.599999998,0.599999998,,,,,,
84.43281996,43.53339331,1,#N/A,43.53339331,0.405465099,0.599999998,0.599999998,,,,,,
95.86155507,38.22527806,0,38.22527806,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
75.01365839,30.60326323,0,30.60326323,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
82.30705337,76.4819633,1,#N/A,76.4819633,0.405465099,0.599999998,0.599999998,,,,,,
69.36458876,97.71869196,1,#N/A,97.71869196,0.405465099,0.599999998,0.599999998,,,,,,
39.53833914,76.03681085,0,76.03681085,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
53.97105215,89.20735014,1,#N/A,89.20735014,0.405465099,0.599999998,0.599999998,,,,,,
69.07014406,52.74046973,1,#N/A,52.74046973,0.405465099,0.599999998,0.599999998,,,,,,
67.94685548,46.67857411,0,46.67857411,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
70.66150955,92.92713789,1,#N/A,92.92713789,0.405465099,0.599999998,0.599999998,,,,,,
76.97878373,47.57596365,1,#N/A,47.57596365,0.405465099,0.599999998,0.599999998,,,,,,
67.37202755,42.83843832,0,42.83843832,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
89.67677575,65.79936593,1,#N/A,65.79936593,0.405465099,0.599999998,0.599999998,,,,,,
50.53478829,48.85581153,0,48.85581153,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
34.21206098,44.2095286,0,44.2095286,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
77.92409145,68.97235999,1,#N/A,68.97235999,0.405465099,0.599999998,0.599999998,,,,,,
62.27101367,69.95445795,1,#N/A,69.95445795,0.405465099,0.599999998,0.599999998,,,,,,
80.19018075,44.82162893,1,#N/A,44.82162893,0.405465099,0.599999998,0.599999998,,,,,,
93.1143888,38.80067034,0,38.80067034,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
61.83020602,50.25610789,0,50.25610789,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
38.7858038,64.99568096,0,64.99568096,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
61.37928945,72.80788731,1,#N/A,72.80788731,0.405465099,0.599999998,0.599999998,,,,,,
85.40451939,57.05198398,1,#N/A,57.05198398,0.405465099,0.599999998,0.599999998,,,,,,
52.10797973,63.12762377,0,63.12762377,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
52.04540477,69.43286012,1,#N/A,69.43286012,0.405465099,0.599999998,0.599999998,,,,,,
40.23689374,71.16774802,0,71.16774802,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
54.63510555,52.21388588,0,52.21388588,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
33.91550011,98.86943574,0,98.86943574,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
64.17698887,80.90806059,1,#N/A,80.90806059,0.405465099,0.599999998,0.599999998,,,,,,
74.78925296,41.57341523,0,41.57341523,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
34.18364003,75.23772034,0,75.23772034,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
83.90239366,56.30804622,1,#N/A,56.30804622,0.405465099,0.599999998,0.599999998,,,,,,
51.54772027,46.85629026,0,46.85629026,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
94.44336777,65.56892161,1,#N/A,65.56892161,0.405465099,0.599999998,0.599999998,,,,,,
82.36875376,40.61825516,0,40.61825516,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
51.04775177,45.82270146,0,45.82270146,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
62.22267576,52.06099195,0,52.06099195,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
77.19303493,70.4582,1,#N/A,70.4582,0.405465099,0.599999998,0.599999998,,,,,,
97.77159928,86.72782233,1,#N/A,86.72782233,0.405465099,0.599999998,0.599999998,,,,,,
62.0730638,96.76882412,1,#N/A,96.76882412,0.405465099,0.599999998,0.599999998,,,,,,
91.5649745,88.69629255,1,#N/A,88.69629255,0.405465099,0.599999998,0.599999998,,,,,,
79.94481794,74.16311935,1,#N/A,74.16311935,0.405465099,0.599999998,0.599999998,,,,,,
99.27252693,60.999031,1,#N/A,60.999031,0.405465099,0.599999998,0.599999998,,,,,,
90.54671411,43.39060181,1,#N/A,43.39060181,0.405465099,0.599999998,0.599999998,,,,,,
34.52451385,60.39634246,0,60.39634246,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
50.28649612,49.80453881,0,49.80453881,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
49.58667722,59.80895099,0,59.80895099,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
97.64563396,68.86157272,1,#N/A,68.86157272,0.405465099,0.599999998,0.599999998,,,,,,
32.57720017,95.59854761,0,95.59854761,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
74.24869137,69.82457123,1,#N/A,69.82457123,0.405465099,0.599999998,0.599999998,,,,,,
71.79646206,78.45356225,1,#N/A,78.45356225,0.405465099,0.599999998,0.599999998,,,,,,
75.39561147,85.75993667,1,#N/A,85.75993667,0.405465099,0.599999998,0.599999998,,,,,,
35.28611282,47.02051395,0,47.02051395,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
56.2538175,39.26147251,0,39.26147251,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
30.05882245,49.59297387,0,49.59297387,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
44.66826172,66.45008615,0,66.45008615,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
66.56089447,41.09209808,0,41.09209808,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
40.45755098,97.53518549,1,#N/A,97.53518549,0.405465099,0.599999998,0.599999998,,,,,,
49.07256322,51.88321182,0,51.88321182,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
80.27957401,92.11606081,1,#N/A,92.11606081,0.405465099,0.599999998,0.599999998,,,,,,
66.74671857,60.99139403,1,#N/A,60.99139403,0.405465099,0.599999998,0.599999998,,,,,,
32.72283304,43.30717306,0,43.30717306,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
64.03932042,78.03168802,1,#N/A,78.03168802,0.405465099,0.599999998,0.599999998,,,,,,
72.34649423,96.22759297,1,#N/A,96.22759297,0.405465099,0.599999998,0.599999998,,,,,,
60.45788574,73.0949981,1,#N/A,73.0949981,0.405465099,0.599999998,0.599999998,,,,,,
58.84095622,75.85844831,1,#N/A,75.85844831,0.405465099,0.599999998,0.599999998,,,,,,
99.8278578,72.36925193,1,#N/A,72.36925193,0.405465099,0.599999998,0.599999998,,,,,,
47.26426911,88.475865,1,#N/A,88.475865,0.405465099,0.599999998,0.599999998,,,,,,
50.4581598,75.80985953,1,#N/A,75.80985953,0.405465099,0.599999998,0.599999998,,,,,,
60.45555629,42.50840944,0,42.50840944,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
82.22666158,42.71987854,0,42.71987854,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
88.91389642,69.8037889,1,#N/A,69.8037889,0.405465099,0.599999998,0.599999998,,,,,,
94.83450672,45.6943068,1,#N/A,45.6943068,0.405465099,0.599999998,0.599999998,,,,,,
67.31925747,66.58935318,1,#N/A,66.58935318,0.405465099,0.599999998,0.599999998,,,,,,
57.23870632,59.51428198,1,#N/A,59.51428198,0.405465099,0.599999998,0.599999998,,,,,,
80.366756,90.9601479,1,#N/A,90.9601479,0.405465099,0.599999998,0.599999998,,,,,,
68.46852179,85.5943071,1,#N/A,85.5943071,0.405465099,0.599999998,0.599999998,,,,,,
42.07545454,78.844786,0,78.844786,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
75.47770201,90.424539,1,#N/A,90.424539,0.405465099,0.599999998,0.599999998,,,,,,
78.63542435,96.64742717,1,#N/A,96.64742717,0.405465099,0.599999998,0.599999998,,,,,,
52.34800399,60.76950526,0,60.76950526,#N/A,0.405465099,0.599999998,0.400000002,,,,,,
94.09433113,77.15910509,1,#N/A,77.15910509,0.405465099,0.599999998,0.599999998,,,,,,
90.44855097,87.50879176,1,#N/A,87.50879176,0.405465099,0.599999998,0.599999998,,,,,,
