"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX",FALSE,0,NA,2016-11-29 18:01:00,FALSE,NA,"803660043367411712",NA,"<a href=""https://www.google.com"" rel=""nofollow"">CaptainJack</a>","capJackk",139,TRUE,FALSE,NA,NA
"2","India's #demonetization daring but an opportunity
https://t.co/DAVvIPJ6E1…t-an-opportunity/59868/",FALSE,0,NA,2016-11-29 18:01:00,FALSE,NA,"803660043228848128",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","thecornerdoteu",0,FALSE,FALSE,NA,NA
"3","RT @ajaymaken: #JanAkroshMarch on #Demonetization
Massive Protest March yesterday!
Great enthusiasm!

Many thanks to Congress workers and l…",FALSE,0,NA,2016-11-29 18:00:45,FALSE,NA,"803659980704514048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlankarSawai",96,TRUE,FALSE,NA,NA
"4","RT @MANJULtoons: #DeMonetization #CashlessIndia  My #cartoon https://t.co/kKweizbtui",FALSE,0,NA,2016-11-29 18:00:33,FALSE,NA,"803659932302069761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dsmhaske_52",641,TRUE,FALSE,NA,NA
"5","RT @PahwaSandy: Dats true .Before #demonetization it was 7.30 which has been reduced to 4.25 @kapsology @ArvindKejriwal https://t.co/mYZ9WT…",FALSE,0,NA,2016-11-29 18:00:32,FALSE,NA,"803659927998767104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AapKaMuzzammil",435,TRUE,FALSE,NA,NA
"6","RT @assassinsps: #<U+091D><U+0942><U+0920>_<U+0932><U+0942><U+091F>_<U+0915><U+0940>_<U+0938><U+0930><U+0915><U+093E><U+0930> must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization #ModiFightsCo…",FALSE,0,NA,2016-11-29 18:00:17,FALSE,NA,"803659866032193536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AbbuofPakistan",1,TRUE,FALSE,NA,NA
"7","RT @ajaymaken: #JanAkroshMarch on #Demonetization
Massive Protest March yesterday!
Great enthusiasm!

Many thanks to Congress workers and l…",FALSE,0,NA,2016-11-29 17:59:11,FALSE,NA,"803659585714147329",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","milindshah2006",96,TRUE,FALSE,NA,NA
"8","RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX",FALSE,0,NA,2016-11-29 17:58:57,FALSE,NA,"803659526637584385",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","VijayMevani",139,TRUE,FALSE,NA,NA
"9","#<U+091D><U+0942><U+0920>_<U+0932><U+0942><U+091F>_<U+0915><U+0940>_<U+0938><U+0930><U+0915><U+093E><U+0930> must  watch @ArvindKejriwal @AamAadmiParty #kejriwalFreeIndia #KejriKaJuth #demonetization… https://t.co/BNtLMCNzmL",FALSE,1,NA,2016-11-29 17:58:52,TRUE,NA,"803659507981230081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","assassinsps",1,FALSE,FALSE,NA,NA
"10","RT @ajaymaken: #JanAkroshMarch on #Demonetization
Massive Protest March yesterday!
Great enthusiasm!

Many thanks to Congress workers and l…",FALSE,0,NA,2016-11-29 17:58:38,FALSE,NA,"803659448212275200",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","milindshah2006",115,TRUE,FALSE,NA,NA
