"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","TN people situation now...

#TNSaysNo2Sasi 

#StaySafeTN https://t.co/MMJeD4UIdS",FALSE,0,NA,2017-02-05 15:04:57,FALSE,NA,"828258112737906688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tamizhanlink",0,FALSE,FALSE,NA,NA
"2","RT @SirJadeja: Is This Really #Democracy? People Of Tamil Nadu Voted For #Amma,Not For #Chinnamma.Who Is She To Lead Them? #TNSaysNo2Sasi #…",FALSE,0,NA,2017-02-05 15:04:56,FALSE,NA,"828258111467163648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","s_palani",1577,TRUE,FALSE,NA,NA
"3","RT @i_Soruba: <U+0B87><U+0BA4><U+0BC8> <U+0B85><U+0BAE><U+0BCD><U+0BAE><U+0BBE> <U+0B9A><U+0BC6><U+0BA4><U+0BCD><U+0BA4> <U+0B85><U+0BA9><U+0BCD><U+0BA9><U+0BBF><U+0B95><U+0BCD><U+0B95><U+0BC7> <U+0BAA><U+0BA3><U+0BCD><U+0BA3><U+0BBF><U+0BAF><U+0BBF><U+0BB0><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BB2><U+0BBE><U+0BAE><U+0BC7>. <U+0BA4><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BA4><U+0BCD><U+0BA4><U+0BCB><U+0B9F> <U+0BA4><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BAE><U+0BBE> <U+0BAA><U+0BCB><U+0BAF><U+0BBF><U+0BB0><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BC1><U+0BAE><U+0BCD>:-/ #TNSaysNo2Sasi",FALSE,0,NA,2017-02-05 15:04:56,FALSE,NA,"828258110678630400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","psnvenkat",269,TRUE,FALSE,NA,NA
"4","<U+0B95><U+0BBE><U+0BB2><U+0B99><U+0BCD><U+0B95><U+0BB3><U+0BCD> <U+0BAE><U+0BBE><U+0BB1><U+0BC1><U+0BAE><U+0BCD>! ! ! <U+0B95><U+0BBE><U+0B9F><U+0BCD><U+0B9A><U+0BBF><U+0B95><U+0BB3><U+0BC1><U+0BAE><U+0BC7> <U+0BAE><U+0BBE><U+0BB1><U+0BC1><U+0BAE><U+0BCD>! ! !  #TNSaysNo2Sasi",FALSE,0,NA,2017-02-05 15:04:56,FALSE,NA,"828258108963069952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","srmanojkumar",0,FALSE,FALSE,NA,NA
"5","#TNSaysNo2Sasi
Tamilnadu Vilangidum",FALSE,0,NA,2017-02-05 15:04:55,FALSE,NA,"828258107981709313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ravichandran493",0,FALSE,FALSE,NA,NA
"6","RT @Iam_Nirun: <U+0B85><U+0BAE><U+0BCD><U+0BAE><U+0BAE><U+0BCD><U+0BAE><U+0BBE> <U+0B85><U+0BB4><U+0B95><U+0BAE><U+0BCD><U+0BAE><U+0BBE>
<U+0B85><U+0B9F><U+0BBF><U+0BA8><U+0BC6><U+0B9E><U+0BCD><U+0B9A><U+0BBF><U+0BB2><U+0BCD> <U+0BAF><U+0BBE><U+0BB0><U+0BAE><U+0BCD><U+0BAE><U+0BBE>
<U+0B95><U+0BBF><U+0BB3><U+0BBF><U+0BAF><U+0BAE><U+0BCD><U+0BAE><U+0BBE> <U+0BAE><U+0BCA><U+0BB4><U+0BBF><U+0BAF><U+0BAE><U+0BCD><U+0BAE><U+0BBE>
<U+0B9A><U+0BBF><U+0BA9><U+0BCD><U+0BA9><U+0BAE><U+0BCD><U+0BAE><U+0BBE> <U+0B9A><U+0BBF><U+0BB2><U+0B95><U+0BAE><U+0BCD><U+0BAE><U+0BBE>
<U+0BA8><U+0BC0> <U+0BB0><U+0BCA><U+0BAE><U+0BCD><U+0BAA> <U+0BAA><U+0BC6><U+0BB0><U+0BBF><U+0BAF> 420 <U+0BAE><U+0BBE>
#TNSaysNo2Sasi https://t.c…",FALSE,0,NA,2017-02-05 15:04:55,FALSE,NA,"828258106626891778",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsmahe",18,TRUE,FALSE,NA,NA
"7","RT @chennaikat: Tamil Nadu politics just went from bull to bullshit. #TNSaysNo2Sasi",FALSE,0,NA,2017-02-05 15:04:55,FALSE,NA,"828258104395472898",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manudutt",31,TRUE,FALSE,NA,NA
"8","RT @r4jjesh: Youngsters Time To Lead <U+270C>

#TNSaysNo2Sasi",FALSE,0,NA,2017-02-05 15:04:54,FALSE,NA,"828258103300866048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cecriansarvan",24,TRUE,FALSE,NA,NA
"9","RT @SirJadeja: Is This Really #Democracy? People Of Tamil Nadu Voted For #Amma,Not For #Chinnamma.Who Is She To Lead Them? #TNSaysNo2Sasi #…",FALSE,0,NA,2017-02-05 15:04:53,FALSE,NA,"828258095990050817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","selganes",1577,TRUE,FALSE,NA,NA
"10","RT @anavinkumar: #TNSaysNo2Sasi #Sasikala Vechi nalla seiyunga da. Trending Nationwide No.1 https://t.co/9LWRfNaImR",FALSE,0,NA,2017-02-05 15:04:52,FALSE,NA,"828258095256129536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nimiraja2011",7,TRUE,FALSE,NA,NA
"11","RT @TrendsRajini: #Sasikala as CM.. Will U accept this??
RT - No
Fav - Yes

#TNSaysNo2Sasi
@AdmkFails",FALSE,0,NA,2017-02-05 15:04:52,FALSE,NA,"828258093720965124",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SudharsanKss",733,TRUE,FALSE,NA,NA
"12","RT @TrendsRajini: #Sasikala as CM.. Will U accept this??
RT - No
Fav - Yes

#TNSaysNo2Sasi
@AdmkFails",FALSE,0,NA,2017-02-05 15:04:51,FALSE,NA,"828258090499833857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pandian1384",733,TRUE,FALSE,NA,NA
"13","RT @SirJadeja: Do You Accept #Sasikala As Chief Minister Of Tamil Nadu?

RT - NO, Not My CM
Fav - Yes

#TNSaysNo2Sasi #AIADMK #SasikalaNata…",FALSE,0,NA,2017-02-05 15:04:50,FALSE,NA,"828258086863376384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","balamugundan",141,TRUE,FALSE,NA,NA
