username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
ShriVV,2016-11-07 22:31,0,0,"@RounaqNeroy imagine when the rs 1000 and 500 are replaced by these rs 2000 notes which have a tracker chip, that can stop #BlackMoney",,@RounaqNeroy,#BlackMoney,"795672602874298368",https://twitter.com/ShriVV/status/795672602874298368
ShriVV,2016-11-07 22:27,0,0,"Sir @PMOIndia if true, the new rs 2000 note with NCG and using that to phase our rs 1000 and rs 500 notes would be a great idea #BlackMoney",,@PMOIndia,#BlackMoney,"795671423414996992",https://twitter.com/ShriVV/status/795671423414996992
TrustingINDIA,2016-11-07 22:15,0,0,"@socialmediatbn Aaha the follow un-follow A live bot, biased media busting biased @Twitter handle I will stick 2 #BlackMoney",,@socialmediatbn @Twitter,#BlackMoney,"795668488908144640",https://twitter.com/TrustingINDIA/status/795668488908144640
TrustingINDIA,2016-11-07 21:15,0,0,"@SV9999 A campaign against #BlackMoney is needed, cud u suggest anything",,@SV9999,#BlackMoney,"795653499484864516",https://twitter.com/TrustingINDIA/status/795653499484864516
RounaqNeroy,2016-11-07 21:05,0,0,"If this picture is anything to go by, it'll give way to #BlackMoney . What's the plan? pic.twitter.com/hVWJqlfAMI",,,#BlackMoney,"795651009464832000",https://twitter.com/RounaqNeroy/status/795651009464832000
ebonomy,2016-11-07 21:02,0,0,"Last day to Vote is Tomorrow! Do you know who you are voting for? #YourVoteMatters #BlackMoney #Vote",,,#YourVoteMatters #BlackMoney #Vote,"795650189440806913",https://twitter.com/ebonomy/status/795650189440806913
TrustingINDIA,2016-11-07 19:47,0,1,"एक बात पर ध्यान दिया है कभी? 31Sept बाद @narendramodi ने कभी #काला_धन #कालाधन #BlackMoney नहीं कहा क्यों भक्तों ? https:// twitter.com/socialmediatbn /status/793142822656417793 …",,@narendramodi,#क #क #BlackMoney,"795631320114335745",https://twitter.com/TrustingINDIA/status/795631320114335745
divyesh_words,2016-11-07 19:09,0,0,"@yogrishiramdev None of the #Patanjali retailers r providing proper bills. You r the best talker about the #BlackMoney . Please take action.",,@yogrishiramdev,#Patanjali #BlackMoney,"795621781864230912",https://twitter.com/divyesh_words/status/795621781864230912
kartvee,2016-11-07 16:05,0,0,"@narendramodi #BlackMoney is not good and you are doing something to get back the black money. But what about #corruption in the last mile?",,@narendramodi,#BlackMoney #corruption,"795575512206745600",https://twitter.com/kartvee/status/795575512206745600
ASITMANOHAR,2016-11-07 15:55,0,0,"#BlackMoney #BlackMoneyMatters made easy. NaMo launches Rs5K notes. Now black marketers can carry Rs 5cr in one suitcase instead of Rs 1 cr.",,,#BlackMoney #BlackMoneyMatters,"795572904691798016",https://twitter.com/ASITMANOHAR/status/795572904691798016
RaajKhan108,2016-11-07 12:10,0,0,"@yogrishiramdev @KirenRijiju @Ra_THORe @AdnanSamiLive @SuPriyoBabul @sarbanandsonwal @rajnathsingh Baba ji #BlackMoney ka kya hua?",,@yogrishiramdev @KirenRijiju @Ra_THORe @AdnanSamiLive @SuPriyoBabul @sarbanandsonwal @rajnathsingh,#BlackMoney,"795516378182807552",https://twitter.com/RaajKhan108/status/795516378182807552
yviren,2016-11-07 11:59,28,5,"when will @narendramodi use same words 4 @adhia03 4 doing Gr8 job in #nselscam @FinMinIndia will get lots of #BlackMoney @NSELfight",,@narendramodi @adhia03 @FinMinIndia @NSELfight,#nselscam #BlackMoney,"795513473027293185",https://twitter.com/yviren/status/795513473027293185
SV99999,2016-11-07 09:05,14,13,"2000 Rupees note For easy #MoneyLaundering of #Blackmoney in the name of Vikas Has a picture of #BhagatSingh on it pic.twitter.com/WSPcoQBx4m",,,#MoneyLaundering #Blackmoney #BhagatSingh,"795469716336709632",https://twitter.com/SV99999/status/795469716336709632
ilovedirestrait,2016-11-07 08:57,0,0,"Is it true @RBI is planning to introduce Rs.2000 currency? I sincerely hope they are just rumors #BlackMoney",,@RBI,#BlackMoney,"795467802597466113",https://twitter.com/ilovedirestrait/status/795467802597466113
kmanojmenon,2016-11-07 08:23,0,0,"@timesofindia @AmitShah stop this kind of talk. We heard this in #blackmoney during elections!",,@timesofindia @AmitShah,#blackmoney,"795459211681415169",https://twitter.com/kmanojmenon/status/795459211681415169
sahilkhurana09,2016-11-07 07:14,0,0,"ExSecular ShekharGupta Shekhar one fear is definitely there in India.That's on those who have #BlackMoney ED is catching offenders daily",,,#BlackMoney,"795441752492638208",https://twitter.com/sahilkhurana09/status/795441752492638208
