SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,DebtRatio,NumberOfOpenCreditLinesAndLoans,NumberOfDependents
1,0.766126609,0.802982129,13,2
0,0.957151019,0.121876201,4,1
0,0.65818014,0.085113375,2,0
0,0.233809776,0.036049682,5,0
0,0.9072394,0.024925695,7,0
0,0.213178682,0.375606969,3,1
0,0.305682465,5710,8,0
0,0.754463648,0.209940017,8,0
0,0.116950644,46,2,NA
0,0.189169052,0.606290901,9,2
0,0.644225962,0.30947621,5,0
0,0.01879812,0.53152876,7,2
0,0.010351857,0.298354075,13,2
1,0.964672555,0.382964747,9,2
0,0.019656581,477,6,0
0,0.548458062,0.209891754,7,2
0,0.061086118,2058,10,0
0,0.166284079,0.18827406,7,0
0,0.221812771,0.527887839,7,2
0,0.602794411,0.065868263,2,0
0,0.200923382,0.430046338,10,0
1,0.025655677,0.475841386,7,2
0,0.9999999,0.241103559,4,0
0,0.075426584,0.085512189,6,0
0,0.04656027,0.241621845,9,0
1,0.392248482,1.595253368,14,1
0,0.052436094,0.097672186,22,0
0,0.034421473,0.042383047,17,1
0,0.452515828,0.011761247,1,0
0,0.392994586,0.436102527,15,0
0,0.704073982,0.155201143,8,0
0,0.9999999,0.472703063,1,0
0,0.083418009,977,6,0
0,0.186868556,0.313812313,9,0
0,0.693329681,0.257731959,7,0
0,0,0.073538769,9,0
0,0.881836362,0.567858035,9,1
0,0.9999999,0.134078212,1,1
0,0.363636364,0.00999001,1,0
0,0.304490668,0.808340474,10,0
0,0.71998531,0.539554464,14,0
0,0.07289757,75,7,0
0,0.469056842,0.048211004,4,1
0,0.718705378,0.170125614,4,1
0,0.368875933,1687.5,31,0
0,0.000602723,0.177787036,12,2
0,0.061440132,0.011167837,2,0
0,0.140110634,0.689370485,4,0
0,0.834048027,0.393662026,13,2
0,7.96E-05,0.256339661,21,0
0,0.818977517,3095,9,0
1,0.728150491,0.824725092,10,1
0,0.9999999,0,1,0
0,0.028562367,0.306381499,5,0
0,0.992015968,0.008064516,1,0
0,0.070853769,0.073147745,4,0
0,0.454971915,0.016921775,10,1
0,0.401199782,0.351258937,4,0
0,0.541108804,2477,3,2
0,0.655569945,0.261609907,10,2
0,0.651603452,0.241135663,11,0
0,0.027399502,0.00803428,3,0
0,0.101155821,1720,12,0
0,0.009788862,1.051397656,6,2
0,0.337520702,0.549877805,10,0
0,0,0.540983607,2,0
0,0.750873672,0.316416365,17,1
0,0.006799093,0.681045752,3,0
0,0.004264079,0.111444278,6,2
0,0.26948375,0.16106176,13,3
0,0.265898391,0.262611807,6,1
0,0.142013011,1824,7,0
0,0.827708197,0.369590815,15,0
0,0.059668871,3162,11,1
1,0.13306279,0.182881653,9,3
0,0.234218112,0.116614347,19,3
0,0.122295933,0.694646949,5,0
0,0.460376317,0.074155949,6,0
0,0.335558577,0.270448637,14,1
0,0.270522569,2.797698945,11,2
0,0.183316667,0.111131623,14,1
0,0.074861676,0.208842479,3,0
0,0.017258977,2.604510673,13,2
0,0.054497069,0.492021814,18,0
0,0.029164236,0.395031809,10,0
0,0,0.316144874,9,1
0,0.360509632,3282,8,0
0,0.003749688,0.004061231,5,0
1,0.734477501,0.591477634,13,2
0,0.080564168,0.487288997,15,0
0,0.039387786,15466,7,0
0,0.023767433,0.123797734,13,0
0,0.784835658,2662,10,0
0,0.888822236,0.368403802,4,1
0,0.791173628,0.51241535,5,0
0,0.24535301,0.288417167,11,0
0,0.542242704,10,2,NA
0,0.010531379,0.280664917,6,0
0,0.363199686,0.480523957,4,0
0,0.032617977,0.006799093,4,0
0,0.013024674,15,4,0
0,0.019387779,0.32591852,9,0
0,0.634485057,0.138238573,2,0
0,0.888008615,0.299246282,8,1
0,0.003108849,0.258939285,7,0
0,0.114830941,0.026235802,6,3
0,0.018886792,0.003478779,5,0
0,0.635415157,0.519493502,4,1
0,0.9999999,0.664221287,8,0
0,0.041257909,4739,11,NA
0,0.096737158,0.009748781,2,2
0,0.31844615,1.382629108,26,0
0,0.186987534,0.023993145,4,0
0,0.006541851,0.108089191,10,1
0,0.180972181,0.384441575,7,3
0,0.00750765,7,4,0
0,0.06790706,0.149103029,6,0
0,0.033461782,1.243362832,5,1
0,0.007520592,269,4,0
0,0.015271802,0.12290366,6,0
0,0.51712072,0.123752495,3,0
0,0.317975796,0.297933792,11,0
0,0.297594642,0.239507959,13,0
0,0.444837661,0.366545247,9,4
0,0.277956679,4090,9,0
0,0.003722015,0.63332301,5,0
0,0,0.2226598,14,0
0,0,0.218854341,13,0
0,0.151912549,0.266394467,22,0
0,0,0.351699622,12,0
0,0.175727593,994,4,0
0,0.011498563,0.001998002,1,0
0,0,0.517468688,7,0
0,0.163037489,0.086482558,7,1
0,0.047311582,0.100920343,5,0
0,0.083880003,0.199647533,8,0
0,0.089478348,1.065901518,11,2
0,0.773519223,1.129227053,12,1
0,0.093962275,0.112051635,6,0
0,0.21955042,0.315983758,20,1
0,0.147996253,0.323088235,5,0
0,0.576518559,3031,11,0
0,0.243872021,0.534027778,22,3
0,0.362483818,567,4,0
0,0.116676791,0.343593791,7,0
0,0.9999999,0.43369976,7,4
0,0.496911825,0.452363811,11,2
0,0.130902106,0.427882174,17,0
0,0.54699881,0.748071979,9,3
0,0.072277109,0.025911708,2,0
0,0,0.370876375,14,5
0,0.175932019,0.655812625,9,1
0,0.050789842,0.315171207,4,1
0,0,0.144616356,7,0
0,0.21286031,0.563752087,10,1
0,0.012682366,0.412979783,20,0
0,0.121557062,0.342971419,23,4
0,0.040795358,0.801999355,11,0
0,0.147712223,0.034847816,6,3
0,0,2,4,NA
0,0,0.726566993,5,1
0,0.070771911,2088,6,0
1,1.046279103,1.104301274,6,1
0,0.323719804,0.610841267,9,2
0,0.36459777,0.593899089,7,0
0,0.637736406,3.382196162,9,0
0,0.081379827,1268,8,0
0,0.020966389,639.5,3,2
0,0.170103002,0.138461538,8,0
0,0.771845631,0.852429514,7,0
0,0.05538241,0.089091313,4,0
0,0.9999999,974,2,0
0,0.16653274,0.543625949,11,3
0,0.008632035,0.365151154,9,0
0,0.13527952,0.342005076,11,2
0,0.167571389,0.330733853,10,1
0,0.9999999,0.005319149,0,3
0,0.068335151,0.010927876,9,0
0,0,0.907538526,6,0
1,0.946963874,1593,6,1
0,0.405183973,0.667835346,22,1
0,0.055549313,2177,6,1
0,0.676195456,0.436665827,10,0
0,0.184986787,3144,11,0
1,0.085338293,0.477503628,11,0
1,0,0.152896812,3,0
1,0.786485406,0.291709578,7,1
0,0.0112096,13,3,0
0,0.03833451,0.438912218,7,0
0,0.714980139,0.47090194,12,3
0,0.043032042,0.332016389,14,0
0,1.095083357,0.536703799,7,0
0,0,2932,11,0
0,0.9999999,0.156259612,5,4
0,0.101430135,0.016196761,9,0
1,0.025892469,74.5,13,2
0,0.762158561,0.224465502,5,3
0,0.231692268,0.119660709,7,0
0,0.114869499,103,6,0
0,0.035489848,0.308438695,9,0
0,0.045423864,0.181311286,4,0
0,0.311954668,0.269281443,12,2
0,0.078738916,0.166215372,6,4
0,0.137609462,0.429533892,11,0
0,0.030173038,0.17386957,8,0
0,0.021978375,0.443755624,12,2
0,0.443696851,0.024340075,4,0
0,0.007506793,1253,8,1
0,0.046640328,0.034326669,13,0
0,0.292365949,0.420180551,8,0
0,0.20808276,2826,14,0
0,0.9999999,0.358101135,4,0
0,0.013500824,0.183464028,8,2
0,0.9999999,0.04965839,1,0
1,0.655316473,5223,19,0
0,0.9999999,1208,4,0
0,0.028113957,0.031349387,12,0
0,0.222696207,800,3,2
0,0.593985244,0.332698534,4,0
0,0.017508178,0.135589153,12,0
0,0.611865678,0.04578345,3,0
0,0.333060631,0.700153374,15,0
0,0.009025178,0.376836435,4,2
0,0.260271523,0.296854804,11,0
0,0.455950788,0.701766078,19,0
0,0.080288098,0.322446259,7,0
1,1.953488372,0.153500141,5,2
0,0.181557324,0.56071964,7,1
0,0.147123525,0.436025621,5,2
0,0.025601772,0.262773723,8,0
0,0,0.002465931,3,0
0,0.196372799,0.537485582,10,0
0,0.083945242,0.588073078,6,0
0,0.034833091,0.460246187,9,0
0,0.787522133,0.353860086,12,1
0,0,3730,8,0
0,0.125429152,0.476704659,3,0
0,0.06037487,0.578676723,17,2
0,0.9999999,0,0,NA
0,0.295928252,0.283765445,6,1
1,0.973339258,0.209961825,11,1
0,0.002856735,0.000285687,10,0
0,0.877564897,2825,10,0
0,0.9999999,0.040493251,0,0
0,0.053431552,0.20364404,3,0
0,0.732660667,0.14041952,15,0
